key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2012-04-30 22:35:00.000000171,41.3,2012-04-30 22:35:00 UTC,-73.991725,40.749698,-73.762987,40.722882,2
2013-11-25 14:48:00.000000179,10.0,2013-11-25 14:48:00 UTC,-73.957062,40.784997,-73.97611,40.780545,2
2014-09-20 20:46:13.0000002,5.0,2014-09-20 20:46:13 UTC,-73.986074,40.747519,-73.977498,40.746723,1
2014-09-19 23:05:00.0000001,10.0,2014-09-19 23:05:00 UTC,-73.94517,40.78327,-73.97624,40.78564,5
2012-07-17 17:17:00.00000080,38.1,2012-07-17 17:17:00 UTC,-73.985135,40.753122,-73.830652,40.713442,1
2011-11-20 12:51:00.0000008,8.1,2011-11-20 12:51:00 UTC,-73.999927,40.734752,-73.99789,40.756465,1
2012-01-06 08:46:32.0000001,14.1,2012-01-06 08:46:32 UTC,-74.004457,40.707534,-73.975272,40.754482,1
2014-06-26 15:15:00.00000051,4.5,2014-06-26 15:15:00 UTC,-73.98378,40.775567,-73.977975,40.782067,2
2013-09-09 11:04:54.0000001,6.0,2013-09-09 11:04:54 UTC,-73.977397,40.752331,-73.970303,40.761649,1
2009-06-21 15:33:00.00000033,3.3,2009-06-21 15:33:00 UTC,-73.97963,40.751973,-73.978517,40.750215,1
2014-12-18 18:43:00.00000035,17.5,2014-12-18 18:43:00 UTC,-73.986717,40.758282,-73.957878,40.77706,5
2011-02-09 18:08:00.0000008,11.3,2011-02-09 18:08:00 UTC,-73.987797,40.72869,-73.972268,40.75626,2
2014-03-12 13:42:54.0000003,89.5,2014-03-12 13:42:54 UTC,-73.975325,40.765053,-74.177888,40.690075,2
2011-11-26 23:00:12.0000002,6.9,2011-11-26 23:00:12 UTC,-73.960153,40.776616,-73.978406,40.76652,4
2010-07-30 09:26:00.00000088,5.7,2010-07-30 09:26:00 UTC,-73.98137,40.741255,-73.976295,40.755432,1
2009-08-08 16:29:00.00000060,16.9,2009-08-08 16:29:00 UTC,-74.011263,40.705163,-73.95439,40.767227,1
2010-02-14 21:37:41.0000003,4.5,2010-02-14 21:37:41 UTC,-73.995719,40.723374,-74.001341,40.719943,1
2010-11-13 01:12:59.0000008,12.1,2010-11-13 01:12:59 UTC,-74.001114,40.736642,-73.989425,40.772947,1
2012-01-03 14:20:00.000000134,5.7,2012-01-03 14:20:00 UTC,-73.98044,40.770627,-73.970828,40.762855,1
2014-02-12 23:45:45.0000005,5.5,2014-02-12 23:45:45 UTC,-73.976498,40.739531,-73.979843,40.732817,1
2009-12-20 09:19:48.0000001,6.5,2009-12-20 09:19:48 UTC,-73.964126,40.76793,-73.969149,40.75035,1
2011-08-20 00:41:00.000000107,8.5,2011-08-20 00:41:00 UTC,-73.98793,40.738107,-73.984145,40.721567,2
2010-12-05 02:29:08.0000001,12.1,2010-12-05 02:29:08 UTC,-74.004873,40.72129,-73.97279,40.675166,1
2014-11-12 14:37:15.0000003,7.0,2014-11-12 14:37:15 UTC,-73.984566,40.757284,-73.996415,40.753249,1
2012-10-16 18:24:38.0000003,19.0,2012-10-16 18:24:38 UTC,-73.994791,40.739442,-73.943076,40.788419,4
2011-01-19 20:43:00.000000119,7.7,2011-01-19 20:43:00 UTC,-73.994738,40.724837,-74.009003,40.706328,5
2013-12-12 11:17:00.000000120,7.0,2013-12-12 11:17:00 UTC,-73.968052,40.76337,-73.957272,40.765047,1
2013-07-24 18:52:40.0000002,12.0,2013-07-24 18:52:40 UTC,-73.979744,40.759565,-73.987876,40.743588,1
2011-03-13 19:59:08.0000005,3.7,2011-03-13 19:59:08 UTC,-73.937997,40.796599,-73.94291,40.78998,1
2012-03-06 20:51:00.000000198,11.7,2012-03-06 20:51:00 UTC,0.0,0.0,0.0,0.0,1
2014-12-23 17:55:00.00000083,6.0,2014-12-23 17:55:00 UTC,-73.995997,40.758632,-73.98363,40.76288,5
2013-02-11 13:19:00.00000062,10.5,2013-02-11 13:19:00 UTC,-73.990047,40.73484,-73.9895,40.748045,1
2013-10-05 01:57:00.00000082,7.0,2013-10-05 01:57:00 UTC,-73.992343,40.744387,-73.98662,40.760625,1
2009-06-23 21:05:04.0000006,14.1,2009-06-23 21:05:04 UTC,-73.986152,40.743759,-73.977689,40.792159,2
2010-10-26 09:53:31.0000001,27.07,2010-10-26 09:53:31 UTC,-73.885898,40.772732,-73.979581,40.751471,1
2009-05-21 19:00:35.0000002,8.1,2009-05-21 19:00:35 UTC,-73.971843,40.75047,-73.991004,40.724048,1
2010-01-16 13:38:49.0000001,2.5,2010-01-16 13:38:49 UTC,-73.990161,40.806601,-73.990161,40.806601,1
2011-06-13 02:19:25.0000002,5.7,2011-06-13 02:19:25 UTC,0.0,0.0,0.0,0.0,1
2009-08-08 03:10:34.0000003,12.9,2009-08-08 03:10:34 UTC,-73.987224,40.718431,-73.991938,40.759437,1
2009-05-21 19:31:00.00000024,8.1,2009-05-21 19:31:00 UTC,-73.969535,40.750642,-73.97869,40.765103,4
2010-09-01 20:35:00.00000048,5.3,2010-09-01 20:35:00 UTC,-73.963078,40.766825,-73.960923,40.774937,3
2011-02-21 21:28:51.0000004,4.5,2011-02-21 21:28:51 UTC,-73.955957,40.772117,-73.9659,40.762085,2
2009-06-19 09:23:00.000000208,13.3,2009-06-19 09:23:00 UTC,-73.960748,40.775612,-73.990485,40.75112,1
2009-05-15 16:15:00.0000006,3.7,2009-05-15 16:15:00 UTC,-73.947207,40.784203,-73.954293,40.77728,1
2012-08-14 00:32:00.00000054,19.7,2012-08-14 00:32:00 UTC,-74.00555,40.715197,-73.89461,40.726317,5
2010-11-30 22:06:45.0000008,4.9,2010-11-30 22:06:45 UTC,-73.971515,40.755943,-73.982002,40.743216,4
2009-12-29 22:26:46.0000001,7.7,2009-12-29 22:26:46 UTC,-74.007295,40.740706,-73.997285,40.714628,3
2014-07-04 05:34:00.00000020,4.0,2014-07-04 05:34:00 UTC,-73.99221,40.72388,-73.98269,40.723087,1
2014-12-16 09:03:45.0000001,13.5,2014-12-16 09:03:45 UTC,-73.954832,40.789043,-73.977246,40.755317,1
